Rnk Team                           W-  L     RATE      SOS
--- ----                           --  -  -------  -------
  1 Syracuse                      19-  0   63.148   56.927 ( 16)
  2 Baylor                        18-  0   62.540   55.618 (109)
  3 Duke                          15-  2   62.197   57.909 (  1)
  4 Ohio State                    16-  3   61.836   57.019 ( 13)
  5 Kentucky                      18-  1   61.745   55.904 ( 92)
  6 Kansas                        14-  3   61.679   57.315 (  3)
  7 Missouri                      16-  1   61.517   55.609 (112)
  8 Michigan St                   15-  3   61.331   57.131 (  7)
  9 Indiana                       15-  3   61.065   56.825 ( 24)
 10 Illinois                      15-  3   60.926   57.031 ( 12)
 11 Georgetown DC                 14-  3   60.919   56.838 ( 23)
 12 Creighton                     16-  2   60.804   56.364 ( 50)
 13 Seton Hall                    15-  3   60.734   56.853 ( 22)
 14 Gonzaga                       15-  3   60.672   56.700 ( 33)
 15 North Carolina                15-  3   60.644   56.511 ( 41)
 16 Virginia                      14-  2   60.511   55.516 (123)
 17 Alabama                       13-  4   60.462   57.128 (  8)
 18 Connecticut                   14-  3   60.443   56.904 ( 18)
 19 St Mary's CA                  17-  2   60.440   55.334 (135)
 20 UNLV                          16-  3   60.374   56.156 ( 70)
 21 Michigan                      14-  4   60.343   56.732 ( 31)
 22 Wisconsin                     14-  5   60.326   56.862 ( 20)
 23 Wichita St                    15-  3   60.287   56.269 ( 60)
 24 San Diego St                  16-  2   60.138   55.056 (162)
 25 Marquette                     14-  4   60.130   56.818 ( 27)
 26 Murray St                     19-  0   60.124   53.588 (297)
 27 Kansas St                     12-  4   59.972   56.860 ( 21)
 28 California                    15-  4   59.938   56.266 ( 61)
 29 Louisville                    15-  4   59.872   56.273 ( 58)
 30 Northwestern                  13-  5   59.831   57.216 (  5)
 31 Mississippi St                16-  3   59.785   55.862 ( 93)
 32 Stanford                      15-  3   59.763   55.649 (108)
 33 New Mexico                    15-  2   59.660   55.045 (164)
 34 Vanderbilt                    14-  4   59.644   56.391 ( 48)
 35 Memphis                       12-  5   59.605   57.171 (  6)
 36 Purdue                        13-  5   59.566   56.819 ( 25)
 37 West Virginia                 13-  6   59.508   57.265 (  4)
 38 Minnesota                     14-  5   59.505   56.810 ( 28)
 39 Southern Miss                 18-  3   59.373   54.896 (174)
 40 Brigham Young                 15-  4   59.349   55.668 (107)
 41 Dayton                        13-  5   59.333   56.955 ( 14)
 42 Florida                       15-  4   59.301   55.689 (103)
 43 Harvard                       15-  2   59.241   54.751 (185)
 44 Xavier OH                     13-  5   59.222   56.882 ( 19)
 45 North Carolina St             13-  5   59.089   56.511 ( 42)
 46 Colorado St                   12-  4   59.088   56.454 ( 45)
 47 Marshall                      14-  4   59.085   56.064 ( 81)
 48 Iowa St                       12-  5   59.065   56.753 ( 29)
 49 Texas                         12-  5   58.987   56.349 ( 52)
 50 Temple                        11-  5   58.966   57.097 ( 10)
 51 Oral Roberts                  17-  4   58.947   55.466 (127)
 52 Denver                        14-  4   58.878   55.743 ( 98)
 53 Northern Iowa                 14-  6   58.858   56.460 ( 44)
 54 Middle Tennessee St           20-  2   58.822   53.985 (258)
 55 Florida St                    11-  6   58.810   56.917 ( 17)
 56 Cincinnati                    15-  4   58.733   55.214 (148)
 57 Oregon                        14-  5   58.679   56.131 ( 73)
 58 Arizona                       12-  6   58.648   56.703 ( 32)
 59 Nevada                        14-  3   58.605   55.105 (159)
 60 Oklahoma                      11-  5   58.538   56.360 ( 51)
 61 Iona                          14-  4   58.530   55.466 (128)
 62 Davidson                      12-  4   58.495   55.716 (101)
 63 Arkansas                      14-  4   58.431   55.193 (151)
 64 St Joseph's PA                13-  6   58.348   56.195 ( 67)
 65 Massachusetts                 14-  4   58.328   55.290 (139)
 66 Maryland                      12-  4   58.314   55.716 (102)
 67 Long Beach St                 12-  6   58.261   56.126 ( 75)
 68 Central Florida               14-  4   58.185   55.162 (154)
 69 Colorado                      11-  6   58.171   56.342 ( 54)
 70 Mississippi                   11-  6   58.127   56.443 ( 46)
 71 VA Commonwealth               13-  5   58.080   55.539 (122)
 72 LSU                           11-  6   58.061   56.227 ( 62)
 73 Miami FL                       9-  6   58.042   56.948 ( 15)
 74 Ohio U.                       14-  4   58.027   54.853 (179)
 75 Cleveland St                  16-  4   58.005   54.671 (193)
 76 Washington                    11-  6   57.971   56.313 ( 56)
 77 Virginia Tech                 11-  6   57.964   56.166 ( 69)
 78 New Mexico St                 14-  5   57.919   55.128 (156)
 79 St Louis U.                   16-  6   57.909   54.981 (168)
 80 La Salle                      15-  5   57.900   54.942 (170)
 81 UCLA                          10-  7   57.857   56.609 ( 34)
 82 Wyoming                       14-  3   57.846   53.909 (267)
 83 Iowa                          11-  8   57.721   56.746 ( 30)
 84 Wagner                        14-  3   57.716   54.067 (245)
 85 South Dakota St               15-  5   57.704   54.937 (171)
 86 Weber St                      14-  3   57.704   53.684 (287)
 87 Missouri St                   11-  8   57.689   56.572 ( 38)
 88 UW-Milwaukee                  13-  6   57.652   55.602 (114)
 89 Akron                         13-  6   57.640   55.409 (131)
 90 Notre Dame                    12-  7   57.615   56.017 ( 86)
