Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Syracuse                                   16     0     0  1219   935   64.339
   2 Arizona                                    14     0     0  1076   789   64.193
   3 Iowa St                                    12     0     0  1049   816   63.912
   4 Oklahoma St                                11     1     0  1037   762   63.733
   5 Massachusetts                              11     1     0   963   848   63.496
   6 Ohio State                                 13     0     0   973   702   63.467
   7 Villanova                                  11     1     0   970   782   63.223
   8 Oregon                                     13     0     0  1159   939   63.149
   9 Baylor                                     10     1     0   864   734   62.977
  10 Michigan St                                11     1     0  1004   784   62.954
  11 Wichita St                                 13     0     0  1006   807   62.939
  12 Wisconsin                                  15     1     0  1239  1026   62.751
  13 Colorado                                   11     2     0  1007   867   62.520
  14 Kansas                                      8     3     0   860   743   62.480
  15 Iowa                                       11     2     0  1153   852   62.162
  16 San Diego St                               10     1     0   849   579   62.150
  17 Kentucky                                   10     3     0  1051   862   62.036
  18 Duke                                       10     2     0  1022   847   61.990
  19 Pittsburgh                                 11     1     0   942   716   61.949
  20 Florida                                    11     2     0   975   794   61.915
  21 Missouri                                   11     1     0   922   787   61.907
  22 LSU                                         9     2     0   866   733   61.826
  23 Gonzaga                                    11     2     0  1098   910   61.665
  24 Connecticut                                12     1     0  1016   806   61.662
  25 Memphis                                     9     2     0   905   764   61.640
  26 Creighton                                  10     2     0   995   779   61.602
  27 Minnesota                                  11     2     0  1006   846   61.542
  28 Arkansas                                   10     2     0  1029   795   61.476
  29 Louisville                                 11     2     0  1100   795   61.425
  30 Texas                                      10     2     0   952   859   61.410
  31 UCLA                                       13     2     0  1317  1054   61.335
  32 Oklahoma                                   11     1     0  1036   909   61.289
  33 Cincinnati                                 13     2     0  1111   869   61.279
  34 North Carolina                              9     3     0   957   840   61.185
  35 Harvard                                    11     1     0   919   751   61.079
  36 George Washington                          11     1     0   932   792   60.922
  37 New Mexico                                  9     3     0   932   851   60.892
  38 Butler                                     11     2     0   996   818   60.733
  39 Xavier OH                                  10     3     0   957   826   60.704
  40 Florida St                                  9     3     0   969   787   60.702
  41 Illinois                                   11     2     0   926   788   60.594
  42 Boise St                                   10     3     0  1072   893   60.523
  43 Toledo                                     12     0     0  1035   878   60.401
  44 Arizona St                                 11     2     0  1031   830   60.383
  45 Utah St                                    10     2     0   916   774   60.226
  46 Stanford                                    9     3     0   934   827   60.206
  47 St John's NY                                9     3     0   904   783   60.204
  48 SMU                                        10     2     0   898   733   60.199
  49 Michigan                                    8     4     0   949   762   60.178
  50 Virginia                                    9     3     0   790   650   60.173
  51 VA Commonwealth                            11     3     0  1058   907   60.171
  52 St Louis U.                                11     2     0   938   759   60.135
  53 St Mary's CA                                9     3     0   916   782   60.123
  54 Georgetown DC                               8     3     0   845   726   60.106
  55 Dayton                                     10     3     0  1002   875   60.057
  56 Brigham Young                               8     6     0  1235  1124   59.961
  57 California                                  9     4     0   970   868   59.928
  58 Hawai`i                                     9     3     0   994   851   59.881
  59 Indiana                                    12     3     0  1230   975   59.783
  60 New Mexico St                              11     5     0  1225  1092   59.722
  61 Princeton                                   9     2     0   820   733   59.631
  62 Manhattan                                   9     2     0   856   794   59.624
  63 Kansas St                                   9     3     0   804   697   59.614
  64 Utah                                       11     1     0  1049   718   59.536
  65 Ohio U.                                     8     3     0   796   732   59.534
  66 Southern Miss                              12     2     0  1031   883   59.534
  67 Pacific CA                                 11     2     0  1004   943   59.515
  68 Tennessee                                   8     4     0   917   794   59.490
  69 North Carolina St                           9     3     0   911   809   59.466
  70 UC-Santa Barbara                            7     4     0   786   727   59.444
  71 Wake Forest                                10     3     0   983   870   59.393
  72 Mississippi                                 9     3     0   963   849   59.389
  73 Providence RI                              11     3     0  1035   898   59.292
  74 Clemson                                     8     3     0   750   583   59.282
  75 Purdue                                     10     3     0  1019   910   59.183
  76 Louisiana Tech                             10     3     0  1064   863   59.069
  77 St Joseph's PA                              7     4     0   822   798   58.981
  78 Missouri St                                10     2     0   903   835   58.973
  79 Vanderbilt                                  7     3     0   722   691   58.945
  80 Drake                                       9     3     0   893   789   58.940
  81 Notre Dame                                  9     4     0  1041   912   58.911
  82 Southern Cal                                9     4     0   975   917   58.867
  83 Alabama-Birmingham                         10     3     0   988   917   58.863
  84 Eastern Michigan                            7     4     0   787   735   58.832
  85 UW-Green Bay                                9     3     0   920   771   58.753
  86 UTEP                                       10     5     0  1051   978   58.704
  87 UNLV                                        9     5     0  1050   904   58.700
  88 Nebraska                                    8     4     0   866   799   58.680
  89 Richmond                                    9     4     0   908   822   58.662
  90 Carleton ON                                19     2     0  1873  1296   58.653
  91 Drexel                                      8     4     0   831   794   58.624
  92 North Dakota St                            11     4     0  1199  1041   58.558
  93 Marquette                                   8     5     0   948   800   58.526
  94 Texas A&M                                   8     3     0   801   681   58.485
  95 Wyoming                                     8     4     0   826   740   58.482
  96 Maryland                                    9     5     0  1055   926   58.479
  97 Louisiana-Lafayette                         8     4     0  1001   925   58.465
  98 Penn St                                     9     4     0  1056   952   58.395
  99 Georgia Tech                                9     4     0   936   845   58.282
 100 Dixie St                                   11     0     0   938   806   58.263
 101 South Carolina                              6     6     0   838   819   58.162
 102 West Virginia                               8     5     0  1054   874   58.147
 103 Charlotte                                   8     4     0   892   868   58.131
 104 Indiana St                                  9     3     0   944   856   58.100
 105 Stephen F. Austin                          10     2     0   902   761   58.045
 106 Colorado St                                 9     4     0  1041   914   57.988
 107 Mercer                                      9     4     0  1088   921   57.960
 108 Washington St                               7     5     0   848   765   57.934
 109 Auburn                                      6     3     0   674   670   57.889
 110 DePaul                                      8     5     0   962   925   57.857
 111 Chico St                                    7     1     0   616   481   57.824
 112 Tarleton St                                10     0     0   926   594   57.719
 113 Nebraska-Omaha                             10     4     0  1188  1026   57.717
 114 Loyola Marymount                            9     4     0  1045  1004   57.650
 115 Texas Tech                                  7     5     0   867   817   57.519
 116 Washington                                  8     5     0  1048  1030   57.518
 117 Alabama                                     5     7     0   880   811   57.501
 118 Northern Colorado                           7     3     0   740   656   57.434
 119 Akron                                       7     5     0   860   810   57.430
 120 Kent St                                     9     3     0   907   823   57.424
 121 Oregon St                                   8     4     0   953   888   57.416
 122 Mississippi St                              9     3     0   844   789   57.399
 123 Seton Hall                                  9     4     0  1026   920   57.388
 124 California Baptist                         11     0     0   903   768   57.371
 125 Northern Iowa                               6     6     0   860   841   57.356
 126 Belmont                                     8     6     0  1114  1096   57.321
 127 CSU-San Bernardino                          7     2     0   718   685   57.235
 128 Fresno St                                   7     6     0   991   930   57.193
 129 Illinois St                                 7     5     0   871   881   57.164
 130 Portland                                    8     5     0  1050   940   57.142
 131 Virginia Tech                               7     5     0   880   833   57.085
 132 Cleveland St                                8     6     0  1073   979   57.082
 133 Western Kentucky                            8     4     0   814   772   57.067
 134 Miami FL                                    7     5     0   774   736   57.046
 135 South Florida                               9     4     0   904   869   56.998
 136 George Mason                                6     6     0   783   793   56.978
 137 UC-Irvine                                   8     7     0  1155  1061   56.966
 138 Temple                                      5     5     0   799   753   56.958
