Rank,Team,Won,Lost,Tied,PF,PA,Rating
1,AUBURN,13,1,0,1232,911,113.500
2,TENNESSEE,14,0,0,1117,783,112.779
3,ALABAMA,12,2,0,1276,1083,112.106
4,IOWA ST.,12,1,0,1126,845,112.045
5,DUKE,12,2,0,1124,829,111.858
6,MEMPHIS,12,3,0,1186,1108,111.705
7,OREGON,13,2,0,1194,1041,111.676
8,FLORIDA,13,1,0,1236,931,111.435
9,MARQUETTE,13,2,0,1206,996,111.409
10,TEXAS A&M,12,2,0,1070,874,111.158
11,MISSISSIPPI ST.,13,1,0,1176,934,111.084
12,UTAH ST.,14,1,0,1249,1001,111.083
13,KENTUCKY,12,2,0,1263,1027,111.060
14,KANSAS,10,3,0,1031,836,110.917
15,MICHIGAN ST.,12,2,0,1135,934,110.877
16,ILLINOIS,11,3,0,1227,941,110.781
17,PITTSBURGH,12,2,0,1177,957,110.688
18,WEST VIRGINIA,11,2,0,983,813,110.599
19,HOUSTON,10,3,0,1004,710,110.516
20,GONZAGA,12,4,0,1399,1098,110.503
21,NEBRASKA,12,2,0,1076,904,110.461
22,PURDUE,11,4,0,1161,1047,110.376
23,SAN DIEGO ST.,9,3,0,894,767,110.294
24,WISCONSIN,11,3,0,1175,1007,110.261
25,MICHIGAN,11,3,0,1177,940,110.232
26,OKLAHOMA,13,1,0,1159,985,110.197
27,OLE MISS,12,2,0,1114,903,109.966
28,CLEMSON,12,3,0,1178,1003,109.866
29,LOUISVILLE,10,5,0,1167,1052,109.817
30,UCONN,12,3,0,1259,1029,109.726
31,UCLA,11,3,0,1064,829,109.717
32,ARIZONA ST.,10,3,0,1001,922,109.686
33,INDIANA,12,3,0,1184,1054,109.441
34,VANDERBILT,13,1,0,1205,931,109.321
35,GEORGIA,12,2,0,1125,897,109.191
36,SMU,11,3,0,1195,1009,109.185
37,ST. JOHN'S (NY),12,3,0,1228,1007,109.152
38,WASHINGTON ST.,13,3,0,1305,1184,109.113
39,BAYLOR,9,4,0,1092,896,109.105
40,NORTH CAROLINA,9,6,0,1269,1188,109.014
41,UCF,10,3,0,1024,996,108.984
42,SAINT MARY'S (CA),13,3,0,1201,999,108.982
43,ST. BONAVENTURE,14,1,0,1100,916,108.976
44,OHIO ST.,9,5,0,1138,977,108.950
45,UC IRVINE,13,2,0,1128,966,108.896
46,CREIGHTON,9,6,0,1126,1059,108.805
47,ARIZONA,8,5,0,1103,892,108.695
48,ARKANSAS,11,3,0,1125,927,108.657
49,DAYTON,11,4,0,1149,1025,108.585
50,BYU,10,3,0,1073,854,108.503
51,MISSOURI,11,3,0,1203,963,108.492
52,PENN ST.,12,3,0,1302,1028,108.479
53,SAN FRANCISCO,13,4,0,1322,1136,108.462
54,TEXAS TECH,10,3,0,1125,848,108.457
55,UC SAN DIEGO,13,2,0,1217,927,108.452
56,NEW MEXICO,12,3,0,1305,1143,108.428
57,COLORADO,9,4,0,974,912,108.324
58,BRADLEY,13,2,0,1224,1026,108.310
59,MARYLAND,11,4,0,1282,952,108.267
60,LSU,11,3,0,1167,951,108.209
61,DRAKE,12,2,0,1014,815,108.199
62,IOWA,10,4,0,1251,1080,108.194
63,GEORGETOWN,12,2,0,1059,882,108.157
64,NORTHWESTERN,10,5,0,1111,993,108.056
65,BOISE ST.,11,4,0,1161,995,108.056
66,WAKE FOREST,11,4,0,1036,974,107.924
67,LIBERTY,13,2,0,1201,890,107.863
68,TEXAS,11,3,0,1158,886,107.855
69,RHODE ISLAND,12,2,0,1145,985,107.852
70,CINCINNATI,10,3,0,1008,786,107.759
71,FLORIDA ST.,10,4,0,1107,973,107.700
